iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 06, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"957,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","41,700,670,815.44","7.15","41,700,670,815.44","171,720,766.00","242.84","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","39,575,685,429.36","6.79","39,575,685,429.36","277,841,094.00","142.44","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","37,238,281,689.56","6.38","37,238,281,689.56","83,951,308.00","443.57","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","23,951,910,419.43","4.11","23,951,910,419.43","105,501,081.00","227.03","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","15,391,643,890.07","2.64","15,391,643,890.07","24,675,191.00","623.77","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","12,197,159,564.46","2.09","12,197,159,564.46","31,337,443.00","389.22","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","11,561,204,156.93","1.98","11,561,204,156.93","66,173,683.00","174.71","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","9,734,139,683.00","1.67","9,734,139,683.00","20,688,926.00","470.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","9,574,213,459.41","1.64","9,574,213,459.41","54,247,909.00","176.49","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","9,438,566,773.74","1.62","9,438,566,773.74","52,573,758.00","179.53","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","7,948,702,107.20","1.36","7,948,702,107.20","32,134,145.00","247.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","7,365,720,726.09","1.26","7,365,720,726.09","8,909,679.00","826.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","5,867,658,035.61","1.01","5,867,658,035.61","18,866,461.00","311.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","5,732,123,285.76","0.98","5,732,123,285.76","10,429,248.00","549.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","5,698,820,739.39","0.98","5,698,820,739.39","50,178,927.00","113.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","4,970,067,752.70","0.85","4,970,067,752.70","5,007,070.00","992.61","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","4,925,316,216.87","0.84","4,925,316,216.87","9,318,191.00","528.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","4,831,223,216.40","0.83","4,831,223,216.40","11,199,720.00","431.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","4,694,765,235.60","0.80","4,694,765,235.60","49,057,108.00","95.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,621,441,683.48","0.79","4,621,441,683.48","26,587,514.00","173.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","4,530,804,426.72","0.78","4,530,804,426.72","4,847,128.00","934.74","United States","NASDAQ","USD","1.00","USD","-"
